                         aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0   sbb.1  scip.1   shot.1  virt. best  virt. worst
syn30h                        -      -      7      1         -           1       6       1        2         1.0            -
syn30m02h                     -      -      5      1         -           1       9       1        1         1.0            -
syn30m03h                     -      -      7      1         -           1      15       1        1         1.0            -
syn30m04h                     -      -     11      1         -           1      30       1        1         1.0            -
syn30m04m                     -      -      1      1         -           1   41397       1       56         1.0            -
syn30m                        -      -      5      1         -           1  170477       3        1         1.0            -
syn40h                        -      -     17      1         -           1      11       1        1         1.0            -
syn40m02h                     -      -      7      1         -           1      21       1        9         1.0            -
syn40m03h                     -      -     17      1         -           1     104       1        9         1.0            -
syn40m04h                     -      -     29      1         -           1     295       1       14         1.0            -
synthes3                      -      -      1      1         -           1      31       1        6         1.0            -
tls2                          -      -      1      1         -           1    1500       9       85         1.0            -
watercontamination0202r       -      -      7      1         -           1      34       4        1         1.0            -
watercontamination0202        -      -      1      1         -           1      32       7        1         1.0            -
