                           Scp2804s      aecp    aoa  baron         dicopt          sbb    virt. worst
o7_ar4_1                      1.00=   131.00-  1.00=  1.00=   66763602.00-  4609570.00-   66763602.00-
o7_ar5_1                      1.00=    49.00-  1.00=  1.00=   12671063.00-  4645914.00-   12671063.00-
o7                            1.00=    86.00-  1.00=  1.00=   81523597.00-  5222091.00-   81523597.00-
o8_ar4_1                      1.00=   161.00-  1.00=  1.00=   84649888.00-  3899670.00-   84649888.00-
o9_ar4_1                      1.00=    64.00-  1.00=  1.00=  100356051.00-  3332134.00-  100356051.00-
pedigree_ex1058               1.00=    30.00-  1.00=  1.00=   20023141.00-   268799.00-   20023141.00-
pedigree_ex485                1.00=    27.00-  1.00=  1.00=    6329902.00-   906284.00-    6329902.00-
pedigree_sim400               1.00=   174.00-  1.00=  1.00=   11444309.00-   191503.00-   11444309.00-
pedigree_sp_top4_350tr        1.00=    41.00-  1.00=  1.00=    7880027.00-  1979672.00-    7880027.00-
pedigree_sp_top5_200          1.00=    45.00-  1.00=  1.00=    5291052.00-   254951.00-    5291052.00-
pedigree_sp_top5_250          1.00=    45.00-  1.00=  1.00=    8140070.00-   467190.00-    8140070.00-
portfol_buyin                 1.00=    18.00-  1.00=  1.00=        203.00-      140.00-        203.00-
portfol_card                  1.00=    26.00-  1.00=  1.00=        116.00-      166.00-        166.00-
portfol_classical050_1        1.00=   370.00-  1.00=  1.00=   19117060.00-    89508.00-   19117060.00-
portfol_classical200_2        1.00=   171.00-  1.00=  1.00=     314741.00-   994756.00-     994756.00-
portfol_roundlot              1.00=    38.00-  1.00=  1.00=    2140678.00-    13693.00-    2140678.00-
procurement2mot               1.00=   112.00-  1.00=  1.00=       3220.00-   351646.00-     351646.00-
ravempb                       1.00=    68.00-  1.00=  1.00=       2256.00-     1643.00-       2256.00-
risk2bpb                      1.00=    13.00-  1.00=  1.00=        533.00-      457.00-        533.00-
rsyn0805hfsg                  1.00=    32.00-  1.00=  1.00=        634.00-     5007.00-       5007.00-
rsyn0805h                     1.00=    32.00-  1.00=  1.00=        653.00-     5558.00-       5558.00-
rsyn0805m02hfsg               1.00=    55.00-  1.00=  1.00=       4610.00-     3649.00-       4610.00-
rsyn0805m02h                  1.00=    55.00-  1.00=  1.00=       5496.00-     6037.00-       6037.00-
rsyn0805m03hfsg               1.00=    50.00-  1.00=  1.00=       2859.00-     9041.00-       9041.00-
rsyn0805m03h                  1.00=    50.00-  1.00=  1.00=       3143.00-    11442.00-      11442.00-
rsyn0805m04hfsg               1.00=    63.00-  1.00=  1.00=       2706.00-     2758.00-       2758.00-
rsyn0805m04h                  1.00=    63.00-  1.00=  1.00=       3290.00-     6080.00-       6080.00-
rsyn0805m04m                  1.00=    55.00-  1.00=  1.00=      33027.00-  1873320.00-    1873320.00-
rsyn0805m                     1.00=    33.00-  1.00=  1.00=       1969.00-   258004.00-     258004.00-
rsyn0810hfsg                  1.00=    21.00-  1.00=  1.00=        499.00-     2893.00-       2893.00-
rsyn0810h                     1.00=    21.00-  1.00=  1.00=        509.00-     4234.00-       4234.00-
rsyn0810m02hfsg               1.00=   121.00-  1.00=  1.00=       3845.00-     8390.00-       8390.00-
rsyn0810m02h                  1.00=   121.00-  1.00=  1.00=       6085.00-    17624.00-      17624.00-
rsyn0810m03hfsg               1.00=   107.00-  1.00=  1.00=       3519.00-    31883.00-      31883.00-
rsyn0810m03h                  1.00=   107.00-  1.00=  1.00=       4984.00-    39353.00-      39353.00-
rsyn0810m03m                  1.00=   105.00-  1.00=  1.00=      59425.00-  2202334.00-    2202334.00-
rsyn0810m04hfsg               1.00=   135.00-  1.00=  1.00=       4207.00-     9974.00-       9974.00-
rsyn0810m04h                  1.00=   135.00-  1.00=  1.00=       5635.00-    14314.00-      14314.00-
rsyn0810m04m                  1.00=   102.00-  1.00=  1.00=      33830.00-  1589041.00-    1589041.00-
rsyn0810m                     1.00=    23.00-  1.00=  1.00=       1111.00-  1188445.00-    1188445.00-
rsyn0815hfsg                  1.00=    32.00-  1.00=  1.00=        590.00-     5658.00-       5658.00-
