                        SHOT_cpx_m.1 SHOT_cpx_m_ecp.1 SHOT_cpx_m_ecp_nonlp.1 SHOT_cpx_m_opt_nosp.1 SHOT_cpx_m_opt_sp.1 SHOT_cpx_m_t1.1 SHOT_cpx_s.1 SHOT_cpx_s_ecp.1 SHOT_cpx_s_nomiqp.1 SHOT_cpx_s_t1.1 SHOT_grb_m.1 SHOT_grb_m_t1.1 SHOT_grb_s.1 SHOT_grb_s_nomiqp.1 SHOT_grb_s_t1.1 virt. worst
squfl025-030                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               0.37-           1.00=        1.00=           1.00=        1.00=               0.62-           1.00=       0.37-
squfl025-040                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               0.30-           1.00=        1.00=           1.00=        1.00=               0.48-           1.00=       0.30-
squfl030-100                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=              -0.15-           1.00=        1.00=           1.00=        1.00=               0.32-           1.00=      -0.15-
squfl030-150                   1.00=            1.00=                  1.00=                 1.00=               1.00=           0.96=        1.00=            1.00=              -0.60-           0.96=        0.85-           0.82-        0.85-               0.06-           0.82-      -0.60-
squfl040-080                   1.00=            1.00=                  1.00=                 1.00=               1.00=           0.96=        1.00=            1.00=              -0.21-           0.96=        1.00=           1.00=        1.00=               0.25-           1.00=      -0.21-
sssd15-08                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
sssd16-07                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
sssd18-08                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
sssd20-04                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
sssd20-08                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
